procurement_id,procurement_year,agency_code,agency_name,project_name,procurement_category,estimated_cost,actual_cost,procurement_method,vendor_code,vendor_name,contract_start_date,contract_end_date,procurement_status
100013,2024,AG05,Ministry of Energy,Public Transport Improvement,Works,16150041,17420852,Open,V425,Vendor Company 425,2/1/2024,8/17/2024,Completed
100014,2019,AG10,Punjab Education Department,IT Infrastructure Upgrade,Services,16583322,17189772,Open,V283,Vendor Company 283,6/22/2019,10/8/2019,Completed
100015,2022,AG01,Ministry of Health,IT Infrastructure Upgrade,Works,7250979,,Direct,V069,Vendor Company 69,7/28/2022,9/30/2022,Ongoing
100016,2024,AG03,Ministry of Education,Hospital Equipment Purchase,Works,12875715,15637058,Open,V086,Vendor Company 86,9/2/2024,11/9/2024,Completed
100017,2021,AG23,WAPDA,Hospital Equipment Purchase,Works,3428104,4312663,Limited,V489,Vendor Company 489,1/22/2021,7/31/2021,Completed
100018,2023,AG17,KPK Works Department,Power Grid Maintenance,Works,5009417,5283950,Limited,V065,Vendor Company 65,12/21/2023,6/14/2024,Completed
100019,2020,AG16,KPK Education Department,Road Construction Project,Services,1062893,1140732,Open,V063,Vendor Company 63,12/16/2020,8/17/2021,Completed
100020,2022,AG03,Ministry of Education,School Renovation Program,Goods,7881495,9045621,Limited,V360,Vendor Company 360,4/14/2022,12/22/2022,Completed
100021,2018,AG27,Pakistan Customs,School Renovation Program,Goods,3050015,,Open,V250,Vendor Company 250,8/2/2018,4/3/2019,Ongoing
100022,2021,AG28,Federal Board of Revenue,Power Grid Maintenance,Services,6160209,7509625,Open,V484,Vendor Company 484,5/10/2021,9/28/2021,Completed
100023,2018,AG29,Election Commission,Hospital Equipment Purchase,Goods,19228744,21054113,Direct,V241,Vendor Company 241,6/22/2018,11/27/2018,Completed
100024,2022,AG21,Capital Development Authority,Public Transport Improvement,Works,9904321,11193481,Limited,V075,Vendor Company 75,7/3/2022,4/20/2023,Completed
100025,2020,AG04,Ministry of Transport,Public Transport Improvement,Goods,4974880,5332672,Limited,V295,Vendor Company 295,3/15/2020,6/10/2020,Completed
100026,2021,AG20,Balochistan Planning Dept,Hospital Equipment Purchase,Works,1200968,,Open,V032,Vendor Company 32,9/5/2021,6/13/2022,Ongoing
100027,2020,AG11,Punjab Works Department,Hospital Equipment Purchase,Works,7274867,,Direct,V321,Vendor Company 321,10/1/2020,7/20/2021,Ongoing
100028,2018,AG27,Pakistan Customs,School Renovation Program,Goods,9116183,,Open,V293,Vendor Company 293,11/5/2018,3/25/2019,Ongoing
100029,2018,AG25,Pakistan Post,Road Construction Project,Goods,1279933,1628727,Direct,V013,Vendor Company 13,12/26/2018,5/27/2019,Completed
100030,2019,AG28,Federal Board of Revenue,Hospital Equipment Purchase,Services,778216,824175,Limited,V105,Vendor Company 105,12/19/2019,3/29/2020,Completed
100031,2019,AG01,Ministry of Health,Power Grid Maintenance,Services,15021295,,Limited,V076,Vendor Company 76,5/12/2019,12/2/2019,Ongoing
100032,2021,AG22,National Highway Authority,Public Transport Improvement,Goods,13404704,,Open,V206,Vendor Company 206,12/2/2021,9/13/2022,Ongoing
100033,2024,AG09,Punjab Health Department,Public Transport Improvement,Goods,13833907,17628178,Limited,V353,Vendor Company 353,8/12/2024,11/3/2024,Completed
100034,2022,AG14,Sindh Works Department,School Renovation Program,Goods,4845085,5501680,Direct,V155,Vendor Company 155,10/5/2022,3/11/2023,Completed
100035,2024,AG28,Federal Board of Revenue,IT Infrastructure Upgrade,Works,16164984,,Limited,V400,Vendor Company 400,4/6/2024,11/2/2024,Ongoing
100036,2021,AG30,National Database Authority,Hospital Equipment Purchase,Works,6506413,7949871,Open,V294,Vendor Company 294,12/4/2021,8/15/2022,Completed
100037,2021,AG29,Election Commission,IT Infrastructure Upgrade,Services,8331591,10794182,Limited,V462,Vendor Company 462,1/13/2021,10/21/2021,Completed
100038,2023,AG29,Election Commission,Power Grid Maintenance,Services,17004335,,Direct,V383,Vendor Company 383,6/11/2023,9/8/2023,Ongoing
100039,2021,AG29,Election Commission,Hospital Equipment Purchase,Works,2993528,,Limited,V438,Vendor Company 438,7/26/2021,4/22/2022,Ongoing
100040,2021,AG11,Punjab Works Department,Power Grid Maintenance,Works,14064908,,Open,V040,Vendor Company 40,2/16/2021,5/8/2021,Ongoing
100041,2020,AG23,WAPDA,IT Infrastructure Upgrade,Works,15389727,19070735,Limited,V327,Vendor Company 327,12/19/2020,10/4/2021,Completed
100042,2020,AG16,KPK Education Department,Hospital Equipment Purchase,Goods,9754625,11314414,Open,V076,Vendor Company 76,3/1/2020,10/22/2020,Completed
100043,2020,AG29,Election Commission,Road Construction Project,Services,8474002,10175770,Open,V225,Vendor Company 225,7/9/2020,10/19/2020,Completed
100044,2023,AG26,Higher Education Commission,Power Grid Maintenance,Services,7860588,8274653,Limited,V335,Vendor Company 335,10/20/2023,5/27/2024,Completed
100045,2022,AG13,Sindh Education Department,Power Grid Maintenance,Goods,19576462,21936301,Open,V168,Vendor Company 168,3/1/2022,5/19/2022,Completed
100046,2021,AG01,Ministry of Health,IT Infrastructure Upgrade,Goods,4461474,4541681,Limited,V319,Vendor Company 319,9/12/2021,3/27/2022,Completed
100047,2024,AG20,Balochistan Planning Dept,School Renovation Program,Works,14857058,,Direct,V170,Vendor Company 170,8/8/2024,5/5/2025,Ongoing
100048,2023,AG14,Sindh Works Department,Road Construction Project,Goods,2148113,2120164,Direct,V483,Vendor Company 483,9/26/2023,2/14/2024,Completed
100049,2021,AG04,Ministry of Transport,Hospital Equipment Purchase,Goods,7038015,,Open,V249,Vendor Company 249,11/23/2021,2/10/2022,Ongoing
100050,2019,AG09,Punjab Health Department,Road Construction Project,Services,9240877,11135709,Open,V285,Vendor Company 285,5/15/2019,9/28/2019,Completed
100051,2019,AG06,Ministry of IT,Road Construction Project,Goods,6670649,,Limited,V043,Vendor Company 43,5/18/2019,1/31/2020,Ongoing
100052,2018,AG08,Ministry of Planning,Power Grid Maintenance,Works,11599959,12765630,Direct,V419,Vendor Company 419,5/22/2018,7/27/2018,Completed
100053,2018,AG11,Punjab Works Department,Public Transport Improvement,Works,16184708,19485641,Open,V126,Vendor Company 126,5/22/2018,2/25/2019,Completed
100054,2018,AG27,Pakistan Customs,Hospital Equipment Purchase,Goods,17057405,21881339,Open,V230,Vendor Company 230,7/6/2018,2/13/2019,Completed
100055,2020,AG19,Balochistan Education Department,School Renovation Program,Goods,4945375,5538641,Open,V298,Vendor Company 298,9/27/2020,12/17/2020,Completed
100056,2023,AG13,Sindh Education Department,Road Construction Project,Goods,13651307,15914084,Open,V484,Vendor Company 484,12/26/2023,5/25/2024,Completed
100057,2024,AG20,Balochistan Planning Dept,School Renovation Program,Services,11345419,,Limited,V113,Vendor Company 113,7/10/2024,2/16/2025,Ongoing
100058,2023,AG03,Ministry of Education,Power Grid Maintenance,Goods,12192919,14435480,Open,V085,Vendor Company 85,10/27/2023,1/12/2024,Completed
100059,2024,AG24,Pakistan Railways,Public Transport Improvement,Goods,3999608,4433003,Direct,V028,Vendor Company 28,11/14/2024,2/23/2025,Completed
100060,2021,AG27,Pakistan Customs,School Renovation Program,Services,2188092,,Limited,V287,Vendor Company 287,9/14/2021,5/9/2022,Ongoing
100061,2024,AG07,Ministry of Housing,Public Transport Improvement,Services,2871077,3554282,Limited,V040,Vendor Company 40,9/2/2024,6/17/2025,Completed
100062,2020,AG16,KPK Education Department,School Renovation Program,Works,17985978,18947349,Direct,V356,Vendor Company 356,9/17/2020,2/7/2021,Completed
100063,2018,AG09,Punjab Health Department,IT Infrastructure Upgrade,Works,13453586,15416365,Direct,V319,Vendor Company 319,7/1/2018,10/21/2018,Completed
100064,2024,AG19,Balochistan Education Department,IT Infrastructure Upgrade,Goods,9125292,11303573,Limited,V350,Vendor Company 350,2/4/2024,5/25/2024,Completed
100065,2018,AG06,Ministry of IT,IT Infrastructure Upgrade,Goods,7907203,,Open,V066,Vendor Company 66,6/14/2018,11/8/2018,Ongoing
100066,2020,AG30,National Database Authority,IT Infrastructure Upgrade,Services,11625237,12604598,Direct,V108,Vendor Company 108,1/9/2020,9/7/2020,Completed
100067,2023,AG10,Punjab Education Department,School Renovation Program,Goods,6227312,6512310,Limited,V001,Vendor Company 1,9/1/2023,12/10/2023,Completed
100068,2021,AG27,Pakistan Customs,Hospital Equipment Purchase,Services,17731907,,Open,V189,Vendor Company 189,7/4/2021,9/8/2021,Ongoing
100069,2018,AG13,Sindh Education Department,Power Grid Maintenance,Goods,13770034,13897638,Open,V357,Vendor Company 357,1/7/2018,7/12/2018,Completed
100070,2019,AG11,Punjab Works Department,IT Infrastructure Upgrade,Works,17718698,,Limited,V136,Vendor Company 136,11/3/2019,4/8/2020,Ongoing
100071,2023,AG05,Ministry of Energy,Public Transport Improvement,Services,8863616,9668427,Limited,V197,Vendor Company 197,10/11/2023,6/30/2024,Completed
100072,2023,AG28,Federal Board of Revenue,IT Infrastructure Upgrade,Works,7954604,9759042,Direct,V106,Vendor Company 106,6/25/2023,1/24/2024,Completed
100073,2019,AG08,Ministry of Planning,Road Construction Project,Goods,18336261,20425721,Direct,V224,Vendor Company 224,11/12/2019,4/5/2020,Completed
100074,2021,AG01,Ministry of Health,Public Transport Improvement,Goods,2510356,,Direct,V023,Vendor Company 23,12/2/2021,5/3/2022,Ongoing
100075,2021,AG25,Pakistan Post,IT Infrastructure Upgrade,Goods,13840184,16133999,Direct,V488,Vendor Company 488,10/18/2021,7/10/2022,Completed
100076,2021,AG26,Higher Education Commission,Road Construction Project,Works,16793856,20902441,Open,V230,Vendor Company 230,11/17/2021,8/31/2022,Completed
100077,2020,AG14,Sindh Works Department,Road Construction Project,Goods,351373,430675,Limited,V243,Vendor Company 243,1/1/2020,8/7/2020,Completed
100078,2018,AG07,Ministry of Housing,School Renovation Program,Goods,11814648,,Direct,V336,Vendor Company 336,1/23/2018,8/9/2018,Ongoing
100079,2019,AG26,Higher Education Commission,Public Transport Improvement,Works,14365969,17013246,Open,V197,Vendor Company 197,6/6/2019,1/15/2020,Completed
100080,2023,AG21,Capital Development Authority,Hospital Equipment Purchase,Works,18385544,21168457,Direct,V268,Vendor Company 268,3/2/2023,8/10/2023,Completed
100081,2018,AG28,Federal Board of Revenue,Hospital Equipment Purchase,Works,14554850,,Open,V187,Vendor Company 187,4/8/2018,10/12/2018,Ongoing
100082,2020,AG17,KPK Works Department,Hospital Equipment Purchase,Works,18413514,21813301,Limited,V311,Vendor Company 311,5/26/2020,9/3/2020,Completed
100083,2024,AG27,Pakistan Customs,IT Infrastructure Upgrade,Goods,13995483,14051797,Open,V454,Vendor Company 454,10/13/2024,4/17/2025,Completed
100084,2020,AG22,National Highway Authority,Hospital Equipment Purchase,Services,14056515,15714349,Limited,V210,Vendor Company 210,2/26/2020,6/19/2020,Completed
100085,2023,AG23,WAPDA,School Renovation Program,Works,10491442,13214179,Open,V029,Vendor Company 29,11/25/2023,2/27/2024,Completed
100086,2019,AG03,Ministry of Education,IT Infrastructure Upgrade,Services,14889083,,Direct,V321,Vendor Company 321,12/3/2019,2/16/2020,Ongoing
100087,2020,AG07,Ministry of Housing,Public Transport Improvement,Works,15162408,,Open,V463,Vendor Company 463,6/3/2020,12/6/2020,Ongoing
100088,2023,AG18,Balochistan Health Department,Public Transport Improvement,Goods,18692446,21163372,Limited,V103,Vendor Company 103,1/24/2023,10/19/2023,Completed
100089,2022,AG05,Ministry of Energy,Road Construction Project,Works,7699458,,Open,V174,Vendor Company 174,2/20/2022,5/2/2022,Ongoing
100090,2019,AG28,Federal Board of Revenue,Road Construction Project,Goods,17652635,17666228,Limited,V311,Vendor Company 311,10/3/2019,4/3/2020,Completed
100091,2022,AG30,National Database Authority,Public Transport Improvement,Goods,10137049,11692406,Direct,V035,Vendor Company 35,2/9/2022,11/5/2022,Completed
100092,2022,AG28,Federal Board of Revenue,Power Grid Maintenance,Works,1533275,,Direct,V223,Vendor Company 223,11/13/2022,5/26/2023,Ongoing
100093,2023,AG25,Pakistan Post,Public Transport Improvement,Works,7631265,,Direct,V361,Vendor Company 361,8/17/2023,2/28/2024,Ongoing
100094,2024,AG05,Ministry of Energy,Public Transport Improvement,Goods,11976127,12724926,Limited,V199,Vendor Company 199,3/8/2024,5/11/2024,Completed
100095,2022,AG10,Punjab Education Department,IT Infrastructure Upgrade,Works,16481647,17311601,Limited,V184,Vendor Company 184,11/22/2022,4/3/2023,Completed
100096,2023,AG11,Punjab Works Department,School Renovation Program,Services,9541527,,Open,V262,Vendor Company 262,11/8/2023,1/21/2024,Ongoing
100097,2023,AG01,Ministry of Health,Hospital Equipment Purchase,Goods,14141133,,Limited,V394,Vendor Company 394,8/9/2023,12/11/2023,Ongoing
100098,2020,AG06,Ministry of IT,Power Grid Maintenance,Goods,12557979,,Open,V389,Vendor Company 389,5/3/2020,8/24/2020,Ongoing
100099,2021,AG02,Ministry of Finance,Public Transport Improvement,Goods,8082036,10485013,Open,V102,Vendor Company 102,5/3/2021,1/21/2022,Completed
100100,2021,AG03,Ministry of Education,School Renovation Program,Services,6286729,7453775,Limited,V240,Vendor Company 240,6/11/2021,10/23/2021,Completed
100101,2020,AG30,National Database Authority,Hospital Equipment Purchase,Services,3713585,4467706,Open,V104,Vendor Company 104,7/11/2020,1/3/2021,Completed
100102,2023,AG30,National Database Authority,Hospital Equipment Purchase,Works,19614891,20566116,Direct,V071,Vendor Company 71,7/7/2023,1/12/2024,Completed
100103,2021,AG15,KPK Health Department,Road Construction Project,Services,13978169,15869065,Open,V304,Vendor Company 304,12/1/2021,3/28/2022,Completed
100104,2022,AG06,Ministry of IT,School Renovation Program,Goods,19956359,,Limited,V222,Vendor Company 222,8/13/2022,4/7/2023,Ongoing
100105,2019,AG21,Capital Development Authority,Hospital Equipment Purchase,Goods,15034046,15642224,Direct,V245,Vendor Company 245,4/9/2019,10/18/2019,Completed
100106,2023,AG18,Balochistan Health Department,Power Grid Maintenance,Goods,11163605,,Open,V052,Vendor Company 52,3/17/2023,11/26/2023,Ongoing
100107,2022,AG09,Punjab Health Department,IT Infrastructure Upgrade,Works,10741174,12557270,Direct,V066,Vendor Company 66,12/7/2022,6/25/2023,Completed
100108,2022,AG08,Ministry of Planning,Power Grid Maintenance,Goods,18858579,21321892,Open,V070,Vendor Company 70,5/23/2022,10/22/2022,Completed
100109,2020,AG20,Balochistan Planning Dept,School Renovation Program,Works,7535695,9098071,Open,V143,Vendor Company 143,3/21/2020,8/6/2020,Completed
100110,2021,AG18,Balochistan Health Department,Road Construction Project,Works,17476957,20356008,Open,V320,Vendor Company 320,8/6/2021,1/25/2022,Completed
100111,2023,AG03,Ministry of Education,Road Construction Project,Works,8432738,9108088,Limited,V400,Vendor Company 400,2/13/2023,4/29/2023,Completed
100112,2021,AG27,Pakistan Customs,Power Grid Maintenance,Services,16577875,,Direct,V346,Vendor Company 346,3/7/2021,5/26/2021,Ongoing
100113,2021,AG06,Ministry of IT,Public Transport Improvement,Services,19450524,24240092,Direct,V386,Vendor Company 386,11/20/2021,5/12/2022,Completed
100114,2022,AG19,Balochistan Education Department,Power Grid Maintenance,Services,6508656,7393629,Limited,V360,Vendor Company 360,12/1/2022,8/26/2023,Completed
100115,2019,AG05,Ministry of Energy,Power Grid Maintenance,Works,6623237,6597397,Direct,V164,Vendor Company 164,1/23/2019,8/10/2019,Completed
100116,2018,AG26,Higher Education Commission,School Renovation Program,Works,12973089,16158726,Limited,V212,Vendor Company 212,7/21/2018,2/20/2019,Completed
100117,2019,AG19,Balochistan Education Department,Hospital Equipment Purchase,Goods,12035314,13975126,Limited,V456,Vendor Company 456,7/2/2019,2/15/2020,Completed
100118,2019,AG11,Punjab Works Department,Public Transport Improvement,Works,16066551,,Limited,V371,Vendor Company 371,6/21/2019,9/12/2019,Ongoing
100119,2020,AG11,Punjab Works Department,Road Construction Project,Works,13359058,15442723,Open,V410,Vendor Company 410,5/26/2020,8/11/2020,Completed
100120,2020,AG21,Capital Development Authority,IT Infrastructure Upgrade,Goods,7276351,8476463,Open,V073,Vendor Company 73,8/18/2020,11/4/2020,Completed
100121,2022,AG17,KPK Works Department,IT Infrastructure Upgrade,Works,17964474,20476056,Limited,V360,Vendor Company 360,5/13/2022,11/6/2022,Completed
100122,2018,AG09,Punjab Health Department,Hospital Equipment Purchase,Goods,11408057,14670142,Direct,V104,Vendor Company 104,10/16/2018,12/29/2018,Completed
100123,2021,AG10,Punjab Education Department,Public Transport Improvement,Goods,16122487,17881196,Limited,V032,Vendor Company 32,6/26/2021,1/24/2022,Completed
100124,2018,AG16,KPK Education Department,IT Infrastructure Upgrade,Goods,12734744,13239641,Direct,V016,Vendor Company 16,6/6/2018,1/24/2019,Completed
100125,2024,AG14,Sindh Works Department,School Renovation Program,Services,18264754,,Open,V217,Vendor Company 217,4/1/2024,1/24/2025,Ongoing
100126,2024,AG23,WAPDA,Road Construction Project,Goods,2364160,2353244,Limited,V201,Vendor Company 201,4/25/2024,8/20/2024,Completed
100127,2023,AG09,Punjab Health Department,Road Construction Project,Goods,8508218,9453571,Open,V027,Vendor Company 27,2/3/2023,7/30/2023,Completed
100128,2019,AG19,Balochistan Education Department,Hospital Equipment Purchase,Goods,4461363,,Limited,V206,Vendor Company 206,5/17/2019,8/4/2019,Ongoing
100129,2019,AG30,National Database Authority,Road Construction Project,Services,459144,511621,Direct,V113,Vendor Company 113,10/8/2019,12/28/2019,Completed
100130,2021,AG09,Punjab Health Department,Road Construction Project,Works,17804771,,Open,V104,Vendor Company 104,12/4/2021,7/6/2022,Ongoing
100131,2020,AG01,Ministry of Health,School Renovation Program,Goods,12995610,,Direct,V404,Vendor Company 404,12/9/2020,7/15/2021,Ongoing
100132,2021,AG17,KPK Works Department,School Renovation Program,Goods,4558541,5912346,Limited,V439,Vendor Company 439,8/9/2021,1/1/2022,Completed
100133,2024,AG01,Ministry of Health,Power Grid Maintenance,Works,14990229,15486129,Limited,V218,Vendor Company 218,2/23/2024,6/24/2024,Completed
100134,2024,AG20,Balochistan Planning Dept,School Renovation Program,Goods,10249704,,Open,V066,Vendor Company 66,6/17/2024,2/28/2025,Ongoing
100135,2022,AG17,KPK Works Department,Hospital Equipment Purchase,Works,6402275,6361488,Limited,V120,Vendor Company 120,5/23/2022,2/22/2023,Completed
100136,2022,AG13,Sindh Education Department,Public Transport Improvement,Goods,5723046,6533381,Open,V164,Vendor Company 164,9/22/2022,6/4/2023,Completed
100137,2022,AG21,Capital Development Authority,Road Construction Project,Goods,17300462,20442972,Direct,V486,Vendor Company 486,5/14/2022,1/27/2023,Completed
100138,2021,AG02,Ministry of Finance,IT Infrastructure Upgrade,Goods,12275627,15389535,Direct,V052,Vendor Company 52,9/15/2021,5/6/2022,Completed
100139,2022,AG15,KPK Health Department,IT Infrastructure Upgrade,Goods,5348880,5508750,Open,V206,Vendor Company 206,4/21/2022,2/13/2023,Completed
100140,2021,AG23,WAPDA,Road Construction Project,Works,15721150,18033608,Direct,V115,Vendor Company 115,7/28/2021,12/13/2021,Completed
100141,2020,AG11,Punjab Works Department,IT Infrastructure Upgrade,Services,10823824,12830229,Limited,V329,Vendor Company 329,5/15/2020,1/9/2021,Completed
100142,2022,AG09,Punjab Health Department,Power Grid Maintenance,Works,2565606,,Limited,V288,Vendor Company 288,4/20/2022,9/30/2022,Ongoing
100143,2019,AG04,Ministry of Transport,Hospital Equipment Purchase,Works,3532069,4090029,Direct,V041,Vendor Company 41,5/15/2019,8/15/2019,Completed
100144,2020,AG30,National Database Authority,School Renovation Program,Services,7409003,9082066,Direct,V493,Vendor Company 493,6/15/2020,11/15/2020,Completed
100145,2020,AG06,Ministry of IT,Road Construction Project,Goods,4403470,,Open,V118,Vendor Company 118,5/8/2020,2/28/2021,Ongoing
100146,2024,AG11,Punjab Works Department,Road Construction Project,Works,6992848,,Limited,V359,Vendor Company 359,9/16/2024,2/8/2025,Ongoing
100147,2018,AG12,Sindh Health Department,School Renovation Program,Works,423550,383274,Direct,V185,Vendor Company 185,9/6/2018,5/30/2019,Completed
100148,2022,AG27,Pakistan Customs,Hospital Equipment Purchase,Works,2063045,2664702,Limited,V117,Vendor Company 117,2/25/2022,11/28/2022,Completed
100149,2018,AG18,Balochistan Health Department,Public Transport Improvement,Goods,5170716,6345400,Open,V314,Vendor Company 314,12/14/2018,8/31/2019,Completed
100150,2018,AG27,Pakistan Customs,Power Grid Maintenance,Goods,19958387,24474416,Open,V488,Vendor Company 488,9/11/2018,1/26/2019,Completed
100151,2019,AG14,Sindh Works Department,Power Grid Maintenance,Services,14330426,,Limited,V307,Vendor Company 307,10/16/2019,6/10/2020,Ongoing
100152,2018,AG28,Federal Board of Revenue,School Renovation Program,Goods,8605584,10398328,Limited,V063,Vendor Company 63,2/3/2018,6/10/2018,Completed
100153,2023,AG15,KPK Health Department,Public Transport Improvement,Goods,18251856,20496206,Limited,V315,Vendor Company 315,2/10/2023,10/2/2023,Completed
100154,2024,AG21,Capital Development Authority,Public Transport Improvement,Services,1777361,2264895,Direct,V196,Vendor Company 196,2/4/2024,10/21/2024,Completed
100155,2020,AG13,Sindh Education Department,Road Construction Project,Works,2261686,,Open,V494,Vendor Company 494,9/1/2020,1/16/2021,Ongoing
100156,2023,AG27,Pakistan Customs,Hospital Equipment Purchase,Services,13891109,16652169,Open,V287,Vendor Company 287,6/6/2023,10/13/2023,Completed
100157,2024,AG18,Balochistan Health Department,Power Grid Maintenance,Works,15277887,19353143,Direct,V048,Vendor Company 48,5/25/2024,8/5/2024,Completed
100158,2021,AG20,Balochistan Planning Dept,Public Transport Improvement,Goods,8865933,,Direct,V297,Vendor Company 297,4/1/2021,11/11/2021,Ongoing
100159,2018,AG28,Federal Board of Revenue,Public Transport Improvement,Goods,18144811,19249436,Open,V226,Vendor Company 226,11/25/2018,4/7/2019,Completed
100160,2019,AG11,Punjab Works Department,Public Transport Improvement,Goods,3044808,,Open,V006,Vendor Company 6,9/24/2019,12/15/2019,Ongoing
100161,2021,AG01,Ministry of Health,Road Construction Project,Works,11407804,12146352,Open,V044,Vendor Company 44,2/10/2021,5/10/2021,Completed
100162,2018,AG05,Ministry of Energy,School Renovation Program,Goods,10246317,12534412,Direct,V464,Vendor Company 464,6/19/2018,2/25/2019,Completed
100163,2020,AG03,Ministry of Education,Public Transport Improvement,Goods,17316510,17847771,Open,V372,Vendor Company 372,12/3/2020,6/2/2021,Completed
100164,2021,AG01,Ministry of Health,Road Construction Project,Goods,11137917,13042001,Direct,V032,Vendor Company 32,5/18/2021,2/24/2022,Completed
100165,2019,AG23,WAPDA,Hospital Equipment Purchase,Goods,13005822,13512131,Limited,V225,Vendor Company 225,11/3/2019,7/28/2020,Completed
100166,2023,AG30,National Database Authority,Power Grid Maintenance,Works,11465551,,Limited,V039,Vendor Company 39,11/8/2023,5/20/2024,Ongoing
100167,2023,AG27,Pakistan Customs,School Renovation Program,Goods,7923260,,Limited,V160,Vendor Company 160,7/15/2023,4/19/2024,Ongoing
100168,2018,AG16,KPK Education Department,School Renovation Program,Goods,7582637,7952895,Open,V167,Vendor Company 167,3/25/2018,7/23/2018,Completed
100169,2018,AG04,Ministry of Transport,Public Transport Improvement,Works,7145888,,Direct,V026,Vendor Company 26,10/22/2018,8/17/2019,Ongoing
100170,2024,AG30,National Database Authority,School Renovation Program,Goods,1963106,2242839,Limited,V399,Vendor Company 399,6/9/2024,11/8/2024,Completed
100171,2020,AG04,Ministry of Transport,School Renovation Program,Works,10750587,11343401,Limited,V095,Vendor Company 95,10/12/2020,1/24/2021,Completed
100172,2019,AG08,Ministry of Planning,School Renovation Program,Works,13483967,16914516,Limited,V136,Vendor Company 136,11/16/2019,2/12/2020,Completed
100173,2020,AG06,Ministry of IT,Hospital Equipment Purchase,Works,3981627,4462467,Direct,V191,Vendor Company 191,12/27/2020,10/19/2021,Completed
100174,2024,AG09,Punjab Health Department,Public Transport Improvement,Goods,17835709,20987326,Limited,V080,Vendor Company 80,10/20/2024,1/13/2025,Completed
100175,2021,AG23,WAPDA,Public Transport Improvement,Works,18071063,19357506,Limited,V055,Vendor Company 55,4/10/2021,12/1/2021,Completed
100176,2024,AG08,Ministry of Planning,School Renovation Program,Works,3228476,3257072,Direct,V149,Vendor Company 149,4/26/2024,12/24/2024,Completed
100177,2018,AG11,Punjab Works Department,Hospital Equipment Purchase,Goods,13411059,,Direct,V395,Vendor Company 395,7/19/2018,1/20/2019,Ongoing
100178,2022,AG11,Punjab Works Department,IT Infrastructure Upgrade,Services,7189007,7189213,Open,V359,Vendor Company 359,8/26/2022,4/27/2023,Completed
100179,2023,AG11,Punjab Works Department,Road Construction Project,Goods,18627189,22538023,Open,V477,Vendor Company 477,12/13/2023,3/15/2024,Completed
100180,2019,AG14,Sindh Works Department,Power Grid Maintenance,Goods,16925086,18118624,Direct,V444,Vendor Company 444,4/19/2019,8/22/2019,Completed
100181,2023,AG01,Ministry of Health,Public Transport Improvement,Goods,11825082,,Limited,V085,Vendor Company 85,5/14/2023,9/23/2023,Ongoing
100182,2024,AG14,Sindh Works Department,IT Infrastructure Upgrade,Works,4097447,4805373,Open,V117,Vendor Company 117,5/3/2024,7/26/2024,Completed
100183,2021,AG25,Pakistan Post,Road Construction Project,Goods,4372368,5218907,Direct,V059,Vendor Company 59,8/26/2021,11/6/2021,Completed
100184,2023,AG11,Punjab Works Department,Road Construction Project,Works,15394272,16049021,Limited,V422,Vendor Company 422,6/26/2023,2/3/2024,Completed
100185,2020,AG24,Pakistan Railways,Road Construction Project,Services,12454248,15973526,Direct,V162,Vendor Company 162,6/16/2020,1/4/2021,Completed
100186,2019,AG24,Pakistan Railways,Public Transport Improvement,Services,11910569,11919510,Direct,V094,Vendor Company 94,2/13/2019,6/23/2019,Completed
100187,2024,AG30,National Database Authority,Public Transport Improvement,Goods,15055228,19203322,Open,V209,Vendor Company 209,11/14/2024,8/30/2025,Completed
